key,es,en
scene.camera_group,Camara,Camera
scene.mode_label,Modo:,Mode:
scene.camera_target_placeholder,id de objeto (vacio = auto),object id (empty = auto)
scene.camera_target_label,Objetivo:,Target:
scene.margin_x_label,Margen X:,Margin X:
scene.margin_y_label,Margen Y:,Margin Y:
scene.hud_border_top_label,HUD arriba (px):,HUD top (px):
scene.hud_border_bottom_label,HUD abajo (px):,HUD bottom (px):
scene.hud_border_left_label,HUD izq. (px):,HUD left (px):
scene.hud_border_right_label,HUD der. (px):,HUD right (px):
scene.hud_border_bg_label,HUD color de fondo:,HUD background color:
scene.hud_border_bg_none,ninguno,none
scene.hud_border_overlay_label,HUD superpuesto:,HUD overlay:
scene.hud_border_overlay_tooltip,"El mundo mantiene su tamaño canonico completo. El actor puede jugar/saltar detras del HUD; su sprite queda invisible en la franja HUD (efecto Metroid). Sin marcar: el mundo se encoge al playfield y el actor rebota contra el borde interno del HUD.","World keeps full canonical size. The actor can play/jump behind the HUD; his sprite is hidden in the HUD strip (Metroid-style). Unchecked: the world shrinks to the playfield and the actor bumps against the inner HUD edge."
scene.parallax_group,Bandas de parallax (Capa 1),Parallax bands (Layer 1)
scene.parallax_hint,"Controla el scroll horizontal de la Capa 1 (base) por rango Y de escena (parallax_x). Sin banda activa para una fila: comportamiento de hoy (1.0, sin repetir).","Controls Layer 1's (base) horizontal scroll by scene Y-range (parallax_x). Rows with no active band behave as today (1.0, no repeat)."
scene.parallax_enabled_label,Activar bandas de parallax,Enable parallax bands
scene.parallax_add_band,Añadir banda,Add band
scene.parallax_remove_band,Quitar banda,Remove band
scene.parallax_max_bands,Maximo {n} bandas por escena.,Maximum {n} bands per scene.
scene.parallax_y0_label,Y0:,Y0:
scene.parallax_y1_label,Y1:,Y1:
scene.parallax_x_label,Parallax X:,Parallax X:
scene.parallax_fixed_label,Fija,Fixed
scene.parallax_repeat_x_label,Repetir X,Repeat X
scene.parallax_group_layer_n,Bandas de parallax (Capa {n}),Parallax bands (Layer {n})
scene.parallax_hint_layer,"Bandas propias de esta capa: si hay al menos una, anulan Parallax X/Fija/Repetir X de arriba para esta capa (spec/scene-v1.md).","This layer's own bands: if there's at least one, they override this layer's Parallax X/Fixed/Repeat X above (spec/scene-v1.md)."
scene.parallax_multi_layer_perf_warning,"Mas de una capa tiene bandas de parallax activas. Esto puede afectar el rendimiento de forma notable, sobre todo en ESP32-S3 -- usalo con moderacion (p. ej. una sola banda en una pantalla de titulo estatica).","More than one layer has parallax bands active. This can noticeably affect performance, especially on ESP32-S3 -- use it sparingly (e.g. a single band on a static title screen)."
scene.active_suffix,  (activa),  (active)
scene.no_background,(ninguno),(none)
scene.read_error_title,Escenas,Scenes
scene.read_error_msg,No se pudo leer {manifest}: {e},Could not read {manifest}: {e}
scene.new_scene_title,Nueva escena,New scene
scene.new_scene_id_label,Id de la escena:,Scene id:
scene.new_scene_exists,Ya existe una escena {sid}.,Scene {sid} already exists.
scene.delete_confirm_title,Eliminar escena,Delete scene
scene.delete_min_scenes,Debe existir al menos una escena.,At least one scene must exist.
scene.delete_confirm_msg,¿Eliminar la escena {sid}?,Delete scene {sid}?
scene.save_error_title,Guardar escenas,Save scenes
tileset.label,Tileset:,Tileset:
tileset.tiles_label,Tiles:,Tiles:
tileset.add_tile,+ Tile,+ Tile
tileset.remove_tile,- Tile,- Tile
tileset.px_per_tile,Px por tile:,Px per tile:
tileset.palette_label,Paleta:,Palette:
tileset.palette_hint,Paleta del tile (0–30):,Tile palette (0–30):
tileset.collision_group,Colision del tile,Tile collision
tileset.collision_type,Tipo:,Type:
tileset.auto_shape,Auto (segun pixeles),Auto (from pixels)
tileset.oneway,Un solo sentido,One-way
tileset.direction,Direccion:,Direction:
tileset.open_error_title,Abrir tileset,Open tileset
tileset.new_title,Nuevo tileset,New tileset
tileset.new_id_label,Id del tileset:,Tileset id:
tileset.save_error_title,Guardar tileset,Save tileset
tileset.import_button,Importar imagen…,Import image…
tileset.import_dialog_title,Importar imagen,Import image
tileset.import_file_label,Archivo:,File:
tileset.import_browse_button,Examinar…,Browse…
tileset.import_file_filter,Imagenes (*.png *.jpg *.jpeg *.webp *.bmp),Images (*.png *.jpg *.jpeg *.webp *.bmp)
tileset.import_alpha_cutoff_label,Umbral alfa (%):,Alpha cutoff (%):
tileset.import_no_tileset_open,Abre o crea un tileset primero.,Open or create a tileset first.
tileset.import_load_error,No se pudo cargar la imagen: {e},Could not load the image: {e}
tileset.import_tile_note,Se reemplaza el tile actual ({n}).,Replaces the current tile ({n}).
background.label,Fondo:,Background:
background.mode_label,Modo:,Mode:
background.mode_solid,Solido,Solid
background.mode_indexed,Pixeles indexados,Indexed pixels
background.width_px,Ancho (px):,Width (px):
background.height_px,Alto (px):,Height (px):
background.solid_color_label,Color solido:,Solid color:
background.palette_hint,Paleta (0–30):,Palette (0–30):
background.open_error_title,Abrir fondo,Open background
background.new_title,Nuevo fondo,New background
background.new_id_label,Id del fondo:,Background id:
background.new_palette_label,Paleta:,Palette:
background.save_error_title,Guardar fondo,Save background
background.import_button,Importar imagen…,Import image…
background.import_dialog_title,Importar imagen,Import image
background.import_file_label,Archivo:,File:
background.import_browse_button,Examinar…,Browse…
background.import_file_filter,Imagenes (*.png *.jpg *.jpeg *.webp *.bmp),Images (*.png *.jpg *.jpeg *.webp *.bmp)
background.import_alpha_cutoff_label,Umbral alfa (%):,Alpha cutoff (%):
background.import_no_background_open,Abre o crea un fondo primero.,Open or create a background first.
background.import_load_error,No se pudo cargar la imagen: {e},Could not load the image: {e}
mainwindow.show_asset_tree,Mostrar assets ▸,Show assets ▸
mainwindow.hide_asset_tree,Ocultar assets ▾,Hide assets ▾
mainwindow.section_sprites,Sprites,Sprites
mainwindow.section_objects,Objetos,Objects
mainwindow.section_fonts,Fuentes,Fonts
mainwindow.section_backgrounds,Fondos,Backgrounds
mainwindow.section_tiles,Tiles,Tiles
mainwindow.section_scenes,Escenas,Scenes
mainwindow.section_palettes,Paletas,Palettes
mainwindow.section_scripts,Scripts,Scripts
mainwindow.empty_page,Abre o crea un proyecto TurtleStudio.,Open or create a TurtleStudio project.
welcome.title,TurtleStudio,TurtleStudio
welcome.recent_label,Proyectos recientes,Recent projects
welcome.open_button,Abrir proyecto…,Open project…
welcome.new_button,Nuevo proyecto…,New project…
mainwindow.menu_file,&Archivo,&File
mainwindow.menu_open_project,&Abrir proyecto…,&Open project…
mainwindow.menu_new_project,&Nuevo proyecto…,&New project…
mainwindow.menu_open_recent,Abrir &reciente,Open &Recent
mainwindow.menu_open_recent_empty,(Vacío),(Empty)
mainwindow.menu_open_recent_clear,Vaciar lista,Clear Recent
mainwindow.open_recent_missing,La carpeta ya no existe: {path},The folder no longer exists: {path}
mainwindow.open_project_title,Abrir proyecto TurtleStudio,Open TurtleStudio project
mainwindow.new_project_folder_title,Carpeta para el nuevo proyecto,Folder for the new project
mainwindow.new_project_title,Nuevo proyecto,New project
mainwindow.new_project_name_label,Nombre del proyecto:,Project name:
mainwindow.new_project_folder_label,Carpeta:,Folder:
mainwindow.new_project_browse_button,Examinar…,Browse…
mainwindow.open_project_error_title,Error al abrir proyecto,Error opening project
mainwindow.placeholder_not_ported,"Editor pendiente de portar para:
{rel}","Editor not yet ported for:
{rel}"
object.label,Objeto:,Object:
object.id_label,Id:,Id:
object.name_label,Nombre:,Name:
object.sprite_label,Sprite:,Sprite:
object.script_label,"Script (stem, opcional):","Script (stem, optional):"
object.animations_group,Animaciones,Animations
object.add_animation,Añadir…,Add…
object.remove_animation,Quitar,Remove
object.change_anim_sprite,Cambiar sprite…,Change sprite…
object.new_animation_title,Nueva animacion,New animation
object.new_animation_name_label,Nombre de la animacion:,Animation name:
object.new_animation_sprite_label,Sprite para la animacion:,Sprite for the animation:
object.collision_group,Colision,Collision
object.has_collision,Tiene colision,Has collision
object.collision_mode_label,Forma:,Shape:
object.auto_shape,Auto (segun sprite),Auto (from sprite)
object.points_label,Puntos:,Points:
object.collision_drag_hint,Clic en el borde para seleccionar la colision; arrastra los puntos de las esquinas/lados para redimensionar o el centro para mover.,Click the border to select the collider; drag the edge handles to resize or the center to move it.
object.open_error_title,Abrir objeto,Open object
object.new_title,Nuevo objeto,New object
object.new_id_label,Id del objeto:,Object id:
object.no_sprites,El proyecto no tiene sprites.,The project has no sprites.
object.new_sprite_label,Sprite:,Sprite:
object.save_error_title,Guardar objeto,Save object
object.pick_sprite,Elegir…,Pick…
object.pick_sprite_title,Elegir sprite,Pick sprite
object.pick_sprite_search,Buscar sprite…,Search sprite…
object.pick_sprite_empty,No hay sprites que coincidan.,No matching sprites.
font.label,Fuente:,Font:
font.charset_label,Caracteres:,Characters:
font.glyph_px_label,Px por glifo:,Px per glyph:
font.line_height_label,Alto de linea:,Line height:
font.baseline_label,Linea base:,Baseline:
font.palette_label,Paleta:,Palette:
font.palette_hint,Paleta del glifo (0–30):,Glyph palette (0–30):
font.preview_group,Vista previa de texto,Text preview
font.open_error_title,Abrir fuente,Open font
font.new_title,Nueva fuente,New font
font.new_id_label,Id de la fuente:,Font id:
font.save_error_title,Guardar fuente,Save font
build.name_label,Nombre:,Name:
build.short_name_label,Nombre corto:,Short name:
build.output_label,Carpeta de salida:,Output folder:
build.browse,Examinar…,Browse…
build.browse_title,Carpeta de salida,Output folder
build.initial_scene_label,Escena inicial:,Initial scene:
build.clean_checkbox,Limpiar carpeta antes de exportar,Clean folder before exporting
build.export_button,Exportar cartucho,Export cartridge
build.export_error_title,Exportar cartucho,Export cartridge
build.no_project_msg,Abre un proyecto primero.,Open a project first.
build.entry_missing_msg,No se encontro el script ENTRY: {path},ENTRY script not found: {path}
build.no_scenes_msg,El proyecto no tiene escenas.,The project has no scenes.
build.lua_notes_header,Avisos de scripts Lua:,Lua script notes:
build.verify_failed_header,Verificacion: {n} problema(s):,Verification: {n} problem(s):
build.verify_ok,Verificacion: OK (referencias y sidecars coherentes).,Verification: OK (refs and sidecars consistent).
build.global_vars_group,Variables globales del cartucho,Cartridge global variables
build.gv_col_name,Nombre,Name
build.gv_col_type,Tipo,Type
build.gv_col_array,[],[]
build.gv_add,+ Variable,+ Variable
build.gv_col_default,Valor inicial,Initial value
build.gv_name_placeholder,nombre_variable,variable_name
build.gv_delete_tooltip,Eliminar variable,Delete variable
build.open_folder,Abrir carpeta,Open folder
mainwindow.menu_export,&Exportar cartucho…,&Export cartridge…
mainwindow.tab_scene,Escena,Scene
mainwindow.tab_sprites,Sprites,Sprites
mainwindow.tab_tiles,Tiles,Tiles
mainwindow.tab_backgrounds,Fondos,Backgrounds
mainwindow.tab_objects,Objetos,Objects
mainwindow.tab_fonts,Fuentes,Fonts
mainwindow.tab_palette,Paleta,Palette
mainwindow.tab_export,Exportar,Export
mainwindow.tab_play,Jugar,Play
mainwindow.target_board_label,Placa:,Board:
mainwindow.target_board_s3,ESP32-S3 (N16R8),ESP32-S3 (N16R8)
mainwindow.target_board_p4,ESP32-P4,ESP32-P4
play.scene_label,Escena:,Scene:
play.play_button,Reproducir,Play
play.pause_button,Pausar,Pause
play.stop_button,Detener,Stop
play.keymap_legend,Flechas: mover · Z: A · X: B · C: C · V: D,Arrows: move · Z: A · X: B · C: C · V: D
play.log_placeholder,Salida de print() y errores de Lua…,print() output and Lua errors…
play.lupa_unavailable,"lupa (Lua 5.4) no disponible -- ver README.md seccion Play para compilarlo. ({error})","lupa (Lua 5.4) not available -- see README.md's Play section to build it. ({error})"
play.read_error_title,Error leyendo el manifest,Error reading manifest
play.read_error_msg,"No se pudo leer {manifest}: {e}","Could not read {manifest}: {e}"
play.start_error_title,Error al iniciar Play,Error starting Play
play.runtime_error_title,Error de ejecucion en Play,Play runtime error
mainwindow.tab_guilayers,Capas GUI,GUI Layers
mainwindow.section_guilayers,Capas GUI,GUI Layers
guilayer.label,"Capa:","Layer:"
guilayer.section_layer_props,Propiedades de capa,Layer properties
guilayer.new_title,Nueva capa GUI,New GUI layer
guilayer.new_id_label,ID de la capa (letras/digitos/_/-),Layer id (letters/digits/_/-)
guilayer.new_id_invalid,ID invalido. Debe empezar con letra y usar solo letras/digitos/_/- (max 32).,Invalid id. Must start with a letter; letters/digits/_/- only (max 32).
guilayer.new_id_exists,"Ya existe una capa con id {id}.","A layer with id {id} already exists."
guilayer.delete_button,Borrar,Delete
guilayer.delete_title,Borrar capa,Delete layer
guilayer.delete_confirm,"Borrar la capa {id}? Esta accion no se puede deshacer.","Delete layer {id}? This cannot be undone."
guilayer.open_error_title,Error abriendo capa,Error opening layer
guilayer.save_error_title,Error guardando capa,Error saving layer
guilayer.no_layer_open,Ninguna capa abierta.,No layer open.
guilayer.preview_title,Vista previa,Preview
guilayer.preview_hint,"El fondo cuadriculado indica pixels transparentes. En runtime la capa se pinta sobre la escena activa.","The checker background marks transparent pixels. At runtime the layer paints over the active scene."
guilayer.preview_palette_label,"Paleta preview:","Preview palette:"
guilayer.x_label,"X:","X:"
guilayer.y_label,"Y:","Y:"
guilayer.w_label,"Ancho:","Width:"
guilayer.h_label,"Alto:","Height:"
guilayer.bg_color_label,"Color de fondo:","Background color:"
guilayer.transparent_bg_label,"Fondo transparente","Transparent background"
guilayer.pauses_scene_label,"Pausa la escena","Pauses scene"
guilayer.captures_input_label,"Captura el input de actores","Captures actor input"
guilayer.z_label,"Z (orden):","Z (order):"
guilayer.rects_title,Rectangulos,Rects
guilayer.add_rect,Agregar rect,Add rect
guilayer.remove_rect,Quitar rect,Remove rect
guilayer.rect_cap_reached,"Limite de {cap} rects por capa alcanzado.","Rect cap per layer reached ({cap})."
guilayer.labels_title,Etiquetas de texto,Text labels
guilayer.add_label,Agregar etiqueta,Add label
guilayer.remove_label,Quitar etiqueta,Remove label
guilayer.label_cap_reached,"Limite de {cap} etiquetas por capa alcanzado.","Label cap per layer reached ({cap})."
guilayer.label_id_error_title,ID invalido,Invalid id
guilayer.label_id_error_msg,El ID debe empezar con letra y usar solo letras/digitos/_/- (max 32).,ID must start with a letter; letters/digits/_/- only (max 32).
guilayer.col_id,ID,ID
guilayer.col_x,X,X
guilayer.col_y,Y,Y
guilayer.col_w,W,W
guilayer.col_h,H,H
guilayer.col_color,Color,Color
guilayer.col_font,Fuente,Font
guilayer.col_text,Texto,Text
guilayer.progress_bars_title,Barras de progreso,Progress bars
guilayer.pip_bars_title,Barras de pips,Pip bars
guilayer.add_progress_bar,Agregar barra,Add bar
guilayer.remove_progress_bar,Quitar barra,Remove bar
guilayer.add_pip_bar,Agregar bar de pips,Add pip bar
guilayer.remove_pip_bar,Quitar bar de pips,Remove pip bar
guilayer.progress_cap_reached,"Limite de {cap} barras de progreso por capa alcanzado.","Progress bar cap per layer reached ({cap})."
guilayer.pip_cap_reached,"Limite de {cap} barras de pips por capa alcanzado.","Pip bar cap per layer reached ({cap})."
guilayer.pip_needs_sprite_msg,"Se necesita al menos un sprite en el proyecto para crear un bar de pips.","At least one sprite is required in the project to create a pip bar."
guilayer.edit_ranges,Editar bandas...,Edit ranges...
guilayer.edit_ranges_hint,"Lista JSON de bandas de valor (max 3). Ver spec/gui-layer-v0.md 'Bandas de valor'.","JSON list of value ranges (max 3). See spec/gui-layer-v0.md 'Value ranges'."
guilayer.edit_ranges_not_list,"El JSON debe ser una lista de objetos.","JSON must be a list of objects."
guilayer.no_row_selected,"Seleccionar primero una fila.","Select a row first."
guilayer.col_direction,Direccion,Direction
guilayer.col_fill_mode,Modo,Fill mode
guilayer.col_fill_color,Color relleno,Fill color
guilayer.col_fill_sprite,Sprite relleno,Fill sprite
guilayer.col_bg_color,Color fondo bar,Bar bg color
guilayer.col_border_color,Marco,Border
guilayer.col_value_num,Valor,Value
guilayer.col_value_den,Max,Max
guilayer.col_ranges,#Bandas,#Ranges
guilayer.col_sprite_full,Sprite,Sprite
guilayer.col_gap_px,Gap,Gap
guilayer.col_value,Valor,Value
guilayer.col_max_value,Max,Max
guilayer.sprites_title,Iconos sprite,Sprite icons
guilayer.add_sprite,Agregar icono,Add icon
guilayer.remove_sprite,Quitar icono,Remove icon
guilayer.sprite_cap_reached,"Limite de {cap} iconos sprite por capa alcanzado.","Sprite icon cap per layer reached ({cap})."
guilayer.sprite_needs_project_sprite_msg,"Se necesita al menos un sprite en el proyecto para crear un icono.","At least one sprite is required in the project to create an icon."
guilayer.col_sprite,Sprite,Sprite
guilayer.col_frame_index,Frame,Frame
guilayer.col_flip_h,Flip H,Flip H
guilayer.col_flip_v,Flip V,Flip V
scene.gui_layers_group,Capas GUI (auto-show),GUI layers (auto-show)
scene.gui_layers_hint,"Capas GUI que se muestran automaticamente al entrar a esta escena (HUDs de nivel). Los menus modales (pausa, dialogo) se abren desde Lua, no se listan aca.","GUI layers auto-shown when entering this scene (level HUDs). Modal menus (pause, dialogs) open from Lua and don't belong here."
scene.gui_layers_missing_suffix,capa faltante,missing layer
scene.hud_scaffold_tooltip,"Crea (o abre) una capa GUI que rellena esta franja HUD","Create (or open) a GUI layer filling this HUD strip"
scene.hud_scaffold_title,Capa HUD,HUD layer
scene.hud_scaffold_zero_border,"Antes de crear la capa poner el borde {side} en un valor mayor a 0.","Set the {side} border to a value greater than 0 before creating the layer."
scene.hud_scaffold_created,"Capa {stem} creada.","Layer {stem} created."
